dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
published, mouse wells	328	single	171957	140403	172820	138666	1737	88504	47228	3	4668	7442	8967
published, mouse wells	330	multi	15135	11719	37659	4463	7256	6063	2338	0	3318	614	5898
published, mouse wells	330	single	99848	88597	109145	87130	1467	52561	32794	0	3242	1936	2378
published, mouse wells	332	multi	18862	15065	45849	5242	9823	9517	2274	1	3273	665	4758
published, mouse wells	332	single	105054	94031	114376	92774	1257	55473	35456	4	3098	2113	2548
published, mouse wells	334	multi	44654	35683	120461	11677	24006	18926	5085	5	11667	1385	16981
published, mouse wells	334	single	276818	247246	303747	242483	4763	144309	93428	6	9503	4960	5956
published, mouse wells	335	multi	78078	63939	224552	19745	44194	31164	8855	7	23913	2761	37207
published, mouse wells	335	single	454529	407514	501620	399577	7937	233601	157524	24	16365	11285	13765
published, mouse wells	338	multi	13735	10717	37194	3203	7514	5514	1528	0	3675	749	6901
published, mouse wells	338	single	76818	67765	84164	66557	1208	43086	22837	13	1829	3309	4084
published, mouse wells	340	multi	116699	93725	316640	31524	62201	50857	14399	4	28465	4275	50249
published, mouse wells	340	single	810085	739229	907403	727957	11272	433410	278735	67	27017	12151	14989
published, mouse wells	342	multi	57754	46760	152500	16265	30495	27498	6321	2	12939	1765	20136
published, mouse wells	342	single	380160	347193	434997	342367	4826	236265	98410	20	12498	6049	7362
published, mouse wells	344	multi	42953	33303	102727	13779	19524	17820	7653	2	7828	1777	13124
published, mouse wells	344	single	309213	279374	334193	275672	3702	147480	121833	22	10039	5449	6641
published, mouse wells	346	multi	17180	12553	37858	5173	7380	7283	2594	1	2675	701	4835
published, mouse wells	346	single	108202	94243	113145	92901	1342	52065	38934	4	3240	2089	2532
published, mouse wells	348	multi	91488	73621	246626	25891	47730	39171	12490	7	21953	2646	33449
published, mouse wells	348	single	601960	555797	683114	547330	8467	325324	209732	14	20727	9180	11166
published, mouse wells	350	multi	45043	36135	113474	12601	23534	21770	5259	13	9093	1574	14704
published, mouse wells	350	single	300628	272532	335854	268828	3704	173102	89950	26	9454	4727	5746
published, mouse wells	352	multi	85395	65862	202301	25305	40557	37430	13834	15	14583	3273	24082
published, mouse wells	352	single	599854	540364	653084	533095	7269	298969	222215	27	19153	8700	10465
published, mouse wells	354	multi	44245	34154	107199	13572	20582	18055	7280	0	8819	1802	13111
published, mouse wells	354	single	341859	310021	375010	305569	4452	169713	128909	7	11392	5461	6487
published, mouse wells	356	multi	129979	104079	366298	31323	72756	49506	14833	23	39717	5990	64526
published, mouse wells	356	single	718130	639263	782004	627288	11975	372331	244472	77	22383	21179	26026
published, mouse wells	358	multi	62097	49529	164062	17832	31697	25597	8373	1	15558	2044	24684
published, mouse wells	358	single	395665	363951	445195	358082	5869	204947	144770	16	14218	7564	8942
published, mouse wells	359	multi	59619	46025	147875	17555	28470	26249	8527	6	11243	1878	17771
published, mouse wells	359	single	410249	373383	456098	368033	5350	216039	143104	8	14232	5824	6983
published, mouse wells	362	multi	57927	47190	158140	16109	31081	27180	6702	1	13307	1767	21215
published, mouse wells	362	single	378478	353634	437073	348136	5498	215763	124906	27	12938	5969	7361
published, mouse wells	364	multi	26080	19984	61676	7379	12605	11406	3802	0	4776	724	5023
published, mouse wells	364	single	151895	133774	162017	132011	1763	76769	52277	0	4728	2065	2486
published, mouse wells	366	multi	11965	9356	28598	3382	5974	5564	1688	0	2104	451	2636
published, mouse wells	366	single	69219	62379	76216	61531	848	37229	22790	0	2360	1999	2460
published, mouse wells	368	multi	118549	96563	343813	29247	67316	47748	12392	14	36409	4142	56913
published, mouse wells	368	single	646106	585145	729909	573160	11985	365263	197921	37	21924	16304	19983
published, mouse wells	370	multi	172759	139845	510153	41233	98612	62128	19043	20	58654	6541	79784
published, mouse wells	370	single	889812	793550	980878	776012	17538	468371	294724	123	30332	25486	31197
