dataset	class	length	biotype	reads	reads_at_length
FLASH-seq	multi	48	TranscribedProcessedPseudogene	50293	212888
FLASH-seq	multi	48	TranscribedUnitaryPseudogene	1148	212888
FLASH-seq	multi	48	TranscribedUnprocessedPseudogene	2834	212888
FLASH-seq	multi	48	UnitaryPseudogene	829	212888
FLASH-seq	multi	48	UnprocessedPseudogene	9801	212888
FLASH-seq	multi	48	lncRNA	125730	212888
FLASH-seq	multi	48	miRNA	3708	212888
FLASH-seq	multi	48	pseudogene	12	212888
FLASH-seq	multi	48	rRNA	29	212888
FLASH-seq	multi	48	ribozyme	4	212888
FLASH-seq	multi	48	snRNA	12	212888
FLASH-seq	multi	48	snoRNA	21	212888
FLASH-seq	multi	48	tRNA	265	212888
FLASH-seq	multi	49	MiscRna	4112	221200
FLASH-seq	multi	49	MtTrna	253	221200
FLASH-seq	multi	49	ProcessedPseudogene	114248	221200
FLASH-seq	multi	49	ProteinCoding	213673	221200
FLASH-seq	multi	49	TEC	2675	221200
FLASH-seq	multi	49	TranscribedProcessedPseudogene	49951	221200
FLASH-seq	multi	49	TranscribedUnitaryPseudogene	1138	221200
FLASH-seq	multi	49	TranscribedUnprocessedPseudogene	2545	221200
FLASH-seq	multi	49	UnitaryPseudogene	715	221200
FLASH-seq	multi	49	UnprocessedPseudogene	8089	221200
FLASH-seq	multi	49	lncRNA	131515	221200
FLASH-seq	multi	49	miRNA	5606	221200
FLASH-seq	multi	49	pseudogene	6	221200
FLASH-seq	multi	49	rRNA	17	221200
FLASH-seq	multi	49	scaRNA	2	221200
FLASH-seq	multi	49	snRNA	4	221200
FLASH-seq	multi	49	snoRNA	21	221200
FLASH-seq	multi	49	tRNA	466	221200
FLASH-seq	multi	50	MiscRna	2893	204525
FLASH-seq	multi	50	MtTrna	130	204525
FLASH-seq	multi	50	ProcessedPseudogene	108082	204525
